,track_id,track_name,track_popularity,artist_id,artist_name,album_id,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
270,2U9j25wlLoCCekKxulgpty,Fica Mais um Pouco Amor,28,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.811,0.397,1,-15.711,1,0.255,0.128,0.0,0.217,0.809,98.063,146907,4
271,3k5AG1YfQBJxOMEOYdXa6g,Canção para Meus Amigos Mortos,19,2d9LRvQJnAXRijqIJDDs2K,Emicida,24FRiS4aTYXDcL48UPknP7,Doozicabraba e a Revolução Silenciosa,0.696,0.791,4,-5.549,0,0.255,0.0507,0.0,0.146,0.634,93.931,189733,4
272,6c6whZDeo8lbZrXahHjkVO,Novo Nego Véio,20,2d9LRvQJnAXRijqIJDDs2K,Emicida,1xTiVYWuLx7GkZN9NLRVEs,Emicidio,0.781,0.476,8,-9.984,0,0.259,0.00726,0.0,0.0721,0.677,89.147,161600,4
273,2g56r0T9P7IOSI1IFNNWKD,Hoje Cedo,15,2d9LRvQJnAXRijqIJDDs2K,Emicida,393EULGuLWpFjCzcuSSQBF,Hoje Cedo,0.678,0.815,10,-4.978,0,0.337,0.0399,0.0,0.15,0.554,161.882,194080,4
274,3JmHWXE5VeUi0Uhpxbs9v6,Milionário do Sonho,1,2d9LRvQJnAXRijqIJDDs2K,Emicida,4UqGzHq5gbqDhFI27IPVd2,O Glorioso Retorno de Quem Nunca Esteve Aqui,0.78,0.282,11,-11.477,0,0.818,0.443,0.0,0.397,0.908,44.881,50067,3
275,1L2eNp1ppkIwJY9eN0s5tw,Bagaço da Laranja,9,2d9LRvQJnAXRijqIJDDs2K,Emicida,1SYy6QlPiObmtHW2PqpZWu,"Sambabook Zeca Pagodinho, Vol. 2",0.68,0.723,7,-7.261,1,0.353,0.3,0.0,0.337,0.839,115.384,250404,4
276,2YEBWxw7dXdmYFM4VqR3p1,Levanta e Anda,8,2d9LRvQJnAXRijqIJDDs2K,Emicida,4UqGzHq5gbqDhFI27IPVd2,O Glorioso Retorno de Quem Nunca Esteve Aqui,0.633,0.937,9,-4.054,1,0.323,0.0943,0.0,0.378,0.823,89.908,150320,4
277,1uVOvs9a0rDTll1fuDhO7h,A Chapa é Quente - Língua Franca,23,2d9LRvQJnAXRijqIJDDs2K,Emicida,7sBS5jW8aR2EwpRmV5QIFC,A Chapa é Quente (Língua Franca),0.606,0.532,5,-10.524,0,0.427,0.211,0.0,0.125,0.23,120.121,244453,4
278,5AEPgvi0qSS91PQtiV2uzZ,Avua Besouro,7,2d9LRvQJnAXRijqIJDDs2K,Emicida,55w8mp0m9mYuVdFxw7LcrB,Avua Besouro,0.731,0.796,1,-9.252,1,0.424,0.112,4.55e-06,0.0711,0.93,175.547,229613,4
279,6UKPIsuQb5EDvW2nUBzt7g,A Chapa é Quente - Língua Franca,9,2d9LRvQJnAXRijqIJDDs2K,Emicida,2YChVRWTV5GzvdcCFvyoT0,Língua Franca,0.767,0.53,5,-10.558,0,0.357,0.215,0.0,0.129,0.23,120.136,242813,4
280,6toZnqSR81llqIIBHzcVbp,Nosso sonho,2,2d9LRvQJnAXRijqIJDDs2K,Emicida,0M5JZjqHKjNtE61lGDtImh,Torcida Brasil,0.764,0.764,5,-5.793,0,0.0704,0.0332,0.0,0.339,0.63,126.013,344587,4
